Lepirudin	DB00001
4-HO-DPT	DB13990
Pipequaline	DB13991
Baloxavir_marboxil	DB13997
Moroctocog_alfa	DB13999
Tetraethylene_glycol_dimethyl_ether	DB14000
Tocopheryl_acetate	DB14002
Tildrakizumab	DB14004
Pentetate	DB14007
Hispidulin	DB14008
Medical_cannabis	DB14009
5-MeO-DMT	DB14010
Nabiximols	DB14011
Burosumab	DB14012
SR9009	DB14013
SR9011	DB14014
Sodium_bisulfite	DB14015
Benzoin	DB14020
Typhoid_vaccine	DB14022
Clinafloxacin	DB14025
Thiosalicylic_acid	DB14026
Taspoglutide	DB14027
Nordazepam	DB14028
Furafylline	DB14029
PZM21	DB14030
Triethylenemelamine	DB14031
Darglitazone	DB14034
Englitazone	DB14035
Beta-Sitosterol	DB14038
Erenumab	DB14039
Eptinezumab	DB14040
Fremanezumab	DB14041
Galcanezumab	DB14042
Palmitoylethanolamide	DB14043
Hopantenic_acid	DB14044
Cholesteryl_chloride	DB14045
Dichlorobenzene	DB14046
Sodium_zirconium_cyclosilicate	DB14048
Nitrate	DB14049
Cannabidivarin	DB14050
Malacidin	DB14051
Nigericin	DB14056
Valinomycin	DB14057
NS-398	DB14060
Hycanthone	DB14061
Emopamil	DB14064
Lomerizine	DB14065
Tetrandrine	DB14066
Desmethylsertraline	DB14071
11-Eicosenoic_acid	DB14073
Icaridin	DB14074
Imidazolidinyl_urea	DB14075
IL1A	DB14076
Magnesium_stearate	DB14077
Medronic_acid	DB14078
Bisphenol_A_diglycidyl_ether	DB14083
Butylparaben	DB14084
Cadmium	DB14085
Docosapentaenoic_acid	DB14088
Methylsulfonylmethane	DB14090
Cobalamin	DB14098
Methionine_sulfoximine	DB14103
Linoleic_acid	DB14104
Butanediol	DB14110
Vaccinia_immune_globulin	DB14112
Phytosphingosine	DB14119
Parasorbic_acid	DB14121
Cardamomin	DB14122
Siloxane	DB14124
Sacubitrilat	DB14127
Macelignan	DB14129
8-Chlorotheophylline	DB14132
Alcohol	DB14134
Hypochlorous_acid	DB14135
Silicic_acid	DB14138
Dipropylene_glycol	DB14140
P-Phenylenediamine	DB14141
4-Aminophenol	DB14144
Nepidermin	DB14145
Chloric_acid	DB14150
Phosphorus	DB14151
Ginsenoside	DB14152
Polysorbate	DB14153
Gold	DB14154
Microcrystalline_cellulose	DB14158
Titanium	DB14160
Northern_bluefin_tuna	DB14162
Anthoxanthum_odoratum	DB14163
Culex_pipiens	DB14165
Penicillium_glaucum	DB14171
Evernia_prunastri	DB14172
Diazolidinyl_urea	DB14173
Paraben	DB14176
Propylparaben	DB14177
Nickel(II)_sulfate	DB14180
Chromate_and_dichromate	DB14182
Geraniol	DB14183
Cinnamaldehyde	DB14184
Aripiprazole_lauroxil	DB14185
Cinnamyl_alcohol	DB14186
Hydroxycitronellal	DB14187
Isoeugenol	DB14188
Ethylenediamine	DB14189
N-Isopropyl-N%27-phenyl-1,4-phenylenediamine	DB14195
Methylchloroisothiazolinone	DB14197
Quaternium-15	DB14198
Methyldibromo_glutaronitrile	DB14199
N-Cyclohexylbenzothiazol-2-sulfenamid	DB14200
Cobalt(II)_chloride	DB14206
Technetium_(99mTc)_fanolesomab	DB14211
Methylparaben	DB14212
Quinaprilat	DB14217
Clostridium_botulinum	DB14223
Lactobacillus_reuteri	DB14224
Enterococcus_faecium	DB14225
Lactobacillus_helveticus	DB14226
Technetium-99m	DB14227
Vaccinium_angustifolium	DB14229
Quinoline_Yellow_WS	DB14231
Bilberry	DB14235
Echinacea_purpurea	DB14239
Echinacea	DB14240
Honey	DB14242
Royal_jelly	DB14250
Jojoba_oil	DB14252
Centella_asiatica	DB14256
Elm	DB14258
Pequin_pepper	DB14262
Rosemary	DB14272
Boswellia_serrata	DB14275
Turmeric	DB14276
Wormwood	DB14291
Arnica_montana	DB14297
Gambir	DB14298
Eleutherococcus_senticosus	DB14303
Meadowfoam_seed_oil	DB14309
Argan_oil	DB14310
Shea_butter	DB14311
Liquorice	DB14312
Pomegranate	DB14317
Coconut_oil	DB14322
Grape_seed_oil	DB14323
Apricot_oil	DB14324
Amber	DB14326
Purslane	DB14327
Sunflower_oil	DB14329
Macadamia_oil	DB14330
Bergamot_essential_oil	DB14335
Scutellaria_lateriflora	DB14339
Chamomile	DB14357
Tribulus_terrestris	DB14358
Serenoa	DB14360
Bran	DB14361
Chondrus_crispus	DB14367
Mangostin	DB14371
Pumice	DB14374
Silybum_marianum	DB14375
Palm_oil	DB14377
Insulin-like_growth_factor_2	DB14472
Sorbitan	DB14474
Acetylcysteinamide	DB14480
Sodium_ascorbate	DB14482
Calcium_ascorbate	DB14483
Magnesium_ascorbate	DB14484
Zinc_ascorbate	DB14485
Zinc_acetate	DB14487
Iron(II)_gluconate	DB14488
Iron(II)_fumarate	DB14491
Lugol%27s_iodine	DB14492
Smithsonite	DB14494
Sodium_molybdate	DB14496
Potassium_acetate	DB14498
Potassium_sulfate	DB14499
Borax	DB14505
Lithium_hydroxide	DB14506
Lithium_citrate	DB14507
Lithium_succinate	DB14508
Lithium_carbonate	DB14509
Acetate	DB14511
Mometasone_furoate	DB14512
Magnesium_levulinate	DB14514
Magnesium_lactate	DB14515
Aluminium_phosphate	DB14517
Aluminium_acetate	DB14518
Hydroxide	DB14522
Phosphate	DB14523
Chromium_nitrate	DB14527
Chromium(III)_nicotinate	DB14529
Chromium(II)_sulfate	DB14530
Carbonate	DB14531
Zinc_chloride	DB14533
Hydrocortisone_aceponate	DB14538
Hydrocortisone_acetate	DB14539
Hydrocortisone_butyrate	DB14540
Hydrocortisone_cypionate	DB14541
Hydrocortisone_valerate	DB14544
Hydrocortisone_hemisuccinate	DB14545
Sulfate	DB14546
Chloride	DB14547
Peracetic_acid	DB14556
Ethylhexylglycerin	DB14557
Andexanet_alfa	DB14562
Kale	DB14564
Lavender_oil	DB14566
Ivosidenib	DB14568
Torezolid	DB14569
17%CE%B1-Hydroxyprogesterone	DB14570
Cobalt	DB14574
BAN2401	DB14580
Patisiran	DB14582
Segesterone_acetate	DB14583
Segesterone	DB14584
Loteprednol	DB14596
Lanadelumab	DB14597
Sodium_calcium_edetate	DB14598
Barley_malt_syrup	DB14601
Acetyl_chloride	DB14623
Pregnenolone_acetate	DB14626
Prednisolone_sodium_phosphate	DB14631
Prednisolone_tebutate	DB14632
Fluprednidene_acetate	DB14634
Diloxanide	DB14638
Boldenone_undecylenate	DB14639
Estriol_tripropionate	DB14641
Methylprednisolone_aceponate	DB14643
Nitrogen_trichloride	DB14645
Sulfur_chloride	DB14647
Dexamethasone_acetate	DB14649
Drostanolone_propionate	DB14655
Chlorphenesin_carbamate	DB14656
Paramethasone_acetate	DB14657
Melengestrol_acetate	DB14659
Trenbolone_acetate	DB14660
Bornyl_acetate	DB14665
Dienestrol_diacetate	DB14668
Estramustine_phosphate	DB14674
Gestonorone_caproate	DB14677
Norethisterone_enanthate	DB14678
Quingestanol_acetate	DB14679
Combretastatin_A-4	DB14680
Cortisone	DB14681
Dextrorphan	DB14682
Willow	DB14691
Liver_(food)	DB14694
Sodium_metavanadate	DB14702
Ribitol	DB14704
Cemiplimab	DB14707
Chloramine-T	DB14708
Bean	DB14709
Black_carpenter_ant	DB14710
Elapegademase	DB14712
Inotersen	DB14713
Cinazepam	DB14715
Clonazolam	DB14716
Nitrazolam	DB14717
Pyrazolam	DB14718
Bentazepam	DB14719
Larotrectinib	DB14723
Emapalumab	DB14724
Rebeccamycin	DB14729
Calaspargase_pegol-mknl	DB14730
Tagraxofusp-erzs	DB14731
Queuine	DB14732
Cannabigerol	DB14734
Cannabichromene	DB14735
Cannabivarin	DB14736
Cannabinol	DB14737
Luteinizing_hormone	DB14741
Avenanthramide	DB14743
Lauryl_glucoside	DB14746
Cidoxepin	DB14750
Mecasermin_rinfabate	DB14751
Hydroxystilbamidine	DB14753
Solriamfetol	DB14754
Catfish	DB14758
Red_pepper	DB14759
Narlaprevir	DB14760
Remdesivir	DB14761
Risankizumab	DB14762
Cycloguanil	DB14763
Apatinib	DB14765
Camrelizumab	DB14776
Murepavadin	DB14777
ImmunoGen	DB14809
Isatuximab	DB14811
Procalcitonin	DB14812
Lanabecestat	DB14814
SB-649868	DB14822
Balovaptan	DB14823
Icrucumab	DB14824
Modotuximab	DB14827
Polydioxanone	DB14832
Polydextrose	DB14836
Centanafadine	DB14841
Filgotinib	DB14845
Deleobuvir	DB14850
Relatlimab	DB14851
Myrcludex_B	DB14853
PF-05089771	DB14856
Brolucizumab	DB14864
Enadenotucirev	DB14873
Lintuzumab	DB14877
Liafensine	DB14878
Cefiderocol	DB14879
Uteroglobin	DB14880
Oliceridine	DB14881
Imgatuzumab	DB14884
Vobarilizumab	DB14891
Spartalizumab	DB14892
Parsatuzumab	DB14897
Inclisiran	DB14901
Emactuzumab	DB14905
Refanezumab	DB14908
Geron_Corporation	DB14909
Mirikizumab	DB14910
Branaplam	DB14918
Tislelizumab	DB14922
Satavaptan	DB14923
Amylopectin	DB14927
Nicotinamide_riboside	DB14933
Bermekimab	DB14947
Nektar_Therapeutics	DB14951
Pamrevlumab	DB14952
P110%CE%B1	DB14954
Opicinumab	DB14959
Seltorexant	DB14961
Trastuzumab_deruxtecan	DB14962
Narnatumab	DB14964
Margetuximab	DB14967
GTx-758	DB14969
Iomazenil	DB14971
Methamidophos	DB14972
Voxelotor	DB14975
Relacorilant	DB14976
Martinostat	DB14979
Cimlanod	DB14983
ALK_inhibitor	DB14988
Umbralisib	DB14989
Sutimlimab	DB14996
Pateclizumab	DB14997
Olorinab	DB14998
Eflapegrastim	DB15001
Flufenoxuron	DB15006
Farampator	DB15012
Enoblituzumab	DB15017
Agatolimod	DB15018
Apararenone	DB15024
Nemorexant	DB15031
Zanubrutinib	DB15035
Sitravatinib	DB15036
Polylactic_acid	DB15037
Litoxetine	DB15038
Ansofaxine	DB15052
Bifenthrin	DB15056
Givosiran	DB15066
Volanesorsen	DB15067
Pexastimogene_devacirepvec	DB15069
Ribose	DB15073
Abrilumab	DB15076
Tumor-associated_macrophage	DB15082
Domagrozumab	DB15083
Psicose	DB15087
Oleclumab	DB15088
Tezepelumab	DB15090
Upadacitinib	DB15091
18-Methoxycoronaridine	DB15096
Tigatuzumab	DB15101
CD137	DB15113
Vamorolone	DB15114
Transfluthrin	DB15117
Hydrogen	DB15127
Dexpramipexole	DB15130
C-Met_inhibitor	DB15133
Ponezumab	DB15135
Rebaudioside_A	DB15136
Bempegaldesleukin	DB15140
Lenzilumab	DB15148
Fibronectin	DB15150
Trevogrumab	DB15159
Asunercept	DB15160
Interleukin_10	DB15162
Fallypride	DB15167
Suvratoxumab	DB15172
JNJ-42165279	DB15173
Ofranergene_obadenovec	DB15175
Quilizumab	DB15176
Birabresib	DB15189
BMS-955176	DB15193
Dextromethadone	DB15198
Ciraparantag	DB15199
Bixin	DB15201
JNJ-26489112	DB15203
Fosravuconazole	DB15204
Capromorelin	DB15205
Esaxerenone	DB15207
Chlorotoxin	DB15210
Duvortuxizumab	DB15211
Pemafibrate	DB15212
Amylose	DB15216
Gastric_inhibitory_polypeptide	DB15217
Flotetuzumab	DB15223
Avidin	DB15228
Dithiopyr	DB15230
Fluciclovine_(18F)	DB15237
2-(1-Hexyloxyethyl)-2-devinyl_pyropheophorbide-a	DB15243
Antipain	DB15251
Nemolizumab	DB15252
Bleselumab	DB15253
Futuximab	DB15262
Thyroid-stimulating_hormone	DB15263
Crizanlizumab	DB15271
Pertussis_vaccine	DB15274
Perillyl_alcohol	DB15289
Foliglurax	DB15292
Epalrestat	DB15293
Dihydroquinidine	DB15300
Faricimab	DB15303
Risdiplam	DB15305
Ridinilazole	DB15308
Modimelanotide	DB15314
Neodymium	DB15318
Trelagliptin	DB15323
Ubrogepant	DB15328
Nattokinase	DB15329
Nesvacumab	DB15330
Biochanin_A	DB15334
Formononetin	DB15335
Methcathinone	DB15339
Dinalbuphine_sebacate	DB15341
Panobacumab	DB15342
Beta-Hydroxy_beta-methylbutyric_acid	DB15344
Sofituzumab_vedotin	DB15349
1D-chiro-Inositol	DB15350
Vorsetuzumab_mafodotin	DB15352
Evinacumab	DB15354
Xanomeline	DB15357
Xanthohumol	DB15359
Istiratumab	DB15363
Aganirsen	DB15369
Technetium_(99mTc)_tilmanocept	DB15373
Vitamin_K2	DB15381
Pidilizumab	DB15383
Caesium	DB15392
Gamma-Tocopherol	DB15394
Lifastuzumab_vedotin	DB15400
Tucotuzumab_celmoleukin	DB15402
Silmitasertib	DB15408
Factor_XI	DB15420
Fialuridine	DB15427
Thioglycolic_acid	DB15429
Pinatuzumab_vedotin	DB15432
Glucoraphanin	DB15436
Artemin	DB15438
Lulizumab_pegol	DB15441
Norleucine	DB15458
Fucoxanthin	DB15462
Urolithin_A	DB15464
Benzhydrocodone	DB15465
Cinoxate	DB15467
Iscotrizinol	DB15468
Ethylhexyl_triazone	DB15469
Minretumomab	DB15470
Aloin	DB15477
Echinacoside	DB15488
Mexazolam	DB15489
Zuranolone	DB15490
Oxazolam	DB15491
Eticlopride	DB15492
Rocaglamide	DB15495
Cerdulatinib	DB15499
Gibberella_fujikuroi	DB15511
Umirolimus	DB15527
Onasemnogene_abeparvovec	DB15528
Calcium_sulfate	DB15533
Copper(I)_chloride	DB15535
Iron(III)_chloride	DB15536
Placopecten_magellanicus	DB15538
Farfantepenaeus_aztecus	DB15539
Rainbow_trout	DB15540
Yellowfin_tuna	DB15541
Atlantic_mackerel	DB15542
Pacific_ocean_perch	DB15543
Skimmed_milk	DB15546
Black_sea_bass	DB15547
Channel_catfish	DB15548
Atlantic_halibut	DB15549
Magnesium_malate	DB15555
Imalumab	DB15558
Prednisolone_acetate	DB15566
Alpha-Pinene	DB15573
Beta-Pinene	DB15574
Ethyl_salicylate	DB15576
Desfesoterodine	DB15578
Climbazole	DB15580
Chrysin	DB15581
Echinomycin	DB15582
Luteolin	DB15584
Patulin	DB15586
Antimony_potassium_tartrate	DB15587
Ursolic_acid	DB15588
Zingerone	DB15589
Golodirsen	DB15593
Ferric_maltol	DB15598
